"날짜","종가","시가","고가","저가","거래량","변동 %"
"2026- 01- 16","23,515.39","23,639.69","23,664.26","23,446.81","2.00B","-0.06%"
"2026- 01- 15","23,530.02","23,693.97","23,721.11","23,502.18","1.56B","0.25%"
"2026- 01- 14","23,471.75","23,563.92","23,590.20","23,306.66","1.69B","-1.00%"
"2026- 01- 13","23,709.87","23,735.12","23,813.30","23,607.59","1.55B","-0.10%"
"2026- 01- 12","23,733.90","23,576.88","23,804.04","23,562.97","1.47B","0.26%"
"2026- 01- 09","23,671.35","23,496.21","23,721.15","23,426.48","1.41B","0.81%"
"2026- 01- 08","23,480.02","23,548.88","23,558.17","23,353.46","1.42B","-0.44%"
"2026- 01- 07","23,584.28","23,544.89","23,723.37","23,504.21","1.44B","0.16%"
"2026- 01- 06","23,547.17","23,446.96","23,559.15","23,389.57","1.59B","0.65%"
"2026- 01- 05","23,395.82","23,449.67","23,476.51","23,332.23","1.58B","0.69%"
"2026- 01- 02","23,235.63","23,481.49","23,585.96","23,119.49","1.35B","-0.03%"
"2025- 12- 31","23,241.99","23,420.85","23,445.26","23,237.78","1.14B","-0.76%"
"2025- 12- 30","23,419.08","23,465.67","23,521.05","23,414.83","1.05B","-0.24%"
"2025- 12- 29","23,474.35","23,414.68","23,531.02","23,397.52","1.09B","-0.50%"
"2025- 12- 26","23,593.10","23,645.91","23,665.15","23,567.86","853.27M","-0.09%"
"2025- 12- 24","23,613.31","23,555.95","23,621.72","23,527.97","615.75M","0.22%"
"2025- 12- 23","23,561.84","23,407.70","23,563.46","23,377.49","1.21B","0.57%"
"2025- 12- 22","23,428.83","23,450.53","23,476.50","23,362.93","1.35B","0.52%"
"2025- 12- 19","23,307.62","23,121.90","23,307.91","23,106.19","4.42B","1.31%"
"2025- 12- 18","23,006.36","23,012.06","23,149.61","22,906.23","1.57B","1.38%"
