"날짜","종가","시가","고가","저가","거래량","변동 %"
"2026- 01- 20","4,900.28","4,900.28","4,900.28","4,900.28","8.25M","-0.09%"
"2026- 01- 19","4,904.66","4,829.40","4,917.37","4,827.95","564.89M","1.32%"
"2026- 01- 16","4,840.74","4,820.66","4,855.61","4,797.75","720.91M","0.90%"
"2026- 01- 15","4,797.55","4,710.28","4,797.55","4,705.44","545.17M","1.58%"
"2026- 01- 14","4,723.10","4,685.11","4,723.10","4,669.32","550.42M","0.65%"
"2026- 01- 13","4,692.64","4,662.44","4,693.07","4,641.58","429.15M","1.47%"
"2026- 01- 12","4,624.79","4,639.89","4,652.54","4,567.55","394.75M","0.84%"
"2026- 01- 09","4,586.32","4,530.03","4,590.03","4,500.48","399.22M","0.75%"
"2026- 01- 08","4,552.37","4,531.46","4,622.32","4,527.50","440.09M","0.03%"
"2026- 01- 07","4,551.06","4,566.34","4,611.72","4,488.20","553.65M","0.57%"
"2026- 01- 06","4,525.48","4,446.08","4,525.48","4,395.00","498.39M","1.52%"
"2026- 01- 05","4,457.52","4,385.92","4,457.52","4,381.93","513.87M","3.43%"
"2026- 01- 02","4,309.63","4,224.53","4,313.55","4,216.68","406.34M","2.27%"
"2025- 12- 30","4,214.17","4,193.75","4,226.36","4,186.95","408.20M","-0.15%"
"2025- 12- 29","4,220.56","4,146.48","4,220.56","4,146.48","502.39M","2.20%"
"2025- 12- 26","4,129.68","4,130.37","4,143.14","4,116.53","510.16M","0.51%"
"2025- 12- 24","4,108.62","4,136.24","4,137.20","4,106.62","363.61M","-0.21%"
"2025- 12- 23","4,117.32","4,127.40","4,140.84","4,110.25","385.85M","0.28%"
"2025- 12- 22","4,105.93","4,096.26","4,105.93","4,083.13","315.63M","2.12%"
