quarter,date,symbol,action,weight,cmc_rank,reason
2023Q1,2023-01-02,XLM,REMOVE,,,순위 이탈/편출
2023Q1,2023-01-02,NEAR,REMOVE,,,순위 이탈/편출
2023Q1,2023-01-02,TON,ADD,0.02,,신규 편입
2023Q1,2023-01-02,XMR,ADD,0.02,,신규 편입
2023Q2,2023-04-03,TON,REMOVE,,,순위 이탈/편출
2023Q2,2023-04-03,XLM,ADD,0.02,,신규 편입
2023Q3,2023-07-03,ETC,REMOVE,,,순위 이탈/편출
2023Q3,2023-07-03,BCH,ADD,0.02,,신규 편입
2023Q3,2023-07-03,TON,ADD,0.02,,신규 편입
2023Q3,2023-07-03,BTC,HOLD,0.3,,비중 조정
2023Q4,2023-10-02,XMR,REMOVE,,,순위 이탈/편출
2023Q4,2023-10-02,BTC,HOLD,0.32,,비중 조정
2024Q1,2024-01-01,XLM,REMOVE,,,순위 이탈/편출
2024Q1,2024-01-01,ICP,ADD,0.02,,신규 편입
2024Q2,2024-04-01,ATOM,REMOVE,,,순위 이탈/편출
2024Q2,2024-04-01,NEAR,ADD,0.02,,신규 편입
2024Q4,2024-10-07,MATIC,REMOVE,,,순위 이탈/편출
2024Q4,2024-10-07,UNI,REMOVE,,,순위 이탈/편출
2024Q4,2024-10-07,ICP,REMOVE,,,순위 이탈/편출
2024Q4,2024-10-07,SUI,ADD,0.02,,신규 편입
2024Q4,2024-10-07,TAO,ADD,0.02,,신규 편입
2024Q4,2024-10-07,APT,ADD,0.02,,신규 편입
2025Q1,2025-01-06,NEAR,REMOVE,,,순위 이탈/편출
2025Q1,2025-01-06,TAO,REMOVE,,,순위 이탈/편출
2025Q1,2025-01-06,APT,REMOVE,,,순위 이탈/편출
2025Q1,2025-01-06,XLM,ADD,0.02,,신규 편입
2025Q1,2025-01-06,HBAR,ADD,0.02,,신규 편입
2025Q1,2025-01-06,UNI,ADD,0.02,,신규 편입
2025Q2,2025-04-07,UNI,REMOVE,,,순위 이탈/편출
2025Q2,2025-04-07,HYPE,ADD,0.02,,신규 편입
2026Q1,2026-01-05,DOT,REMOVE,,,순위 이탈/편출
2026Q1,2026-01-05,ZEC,ADD,0.02,,신규 편입
2026Q2,2026-04-06,TON,REMOVE,,,순위 이탈/편출
2026Q2,2026-04-06,CC,ADD,0.02,,신규 편입
