date,bm20_level,bm20_chg_pct,sentiment_value,sentiment_label,kimchi_pct,usdkrw,k_share_percent,btc_funding_bin,eth_funding_bin,btc_funding_byb,eth_funding_byb,btc_dominance
2018-01-01,100.0,,,,,,,,,,,
2018-01-02,110.2382,10.2382,,,,,,,,,,
2018-01-03,119.5827,8.4766,,,,,,,,,,
2018-01-04,123.4088,3.1995,,,,,,,,,,
2018-01-05,131.7716,6.7765,,,,,,,,,,
2018-01-06,141.9792,7.7464,,,,,,,,,,
2018-01-07,143.7716,1.2624,,,,,,,,,,
2018-01-08,131.8018,-8.3256,,,,,,,,,,
2018-01-09,132.6021,0.6072,,,,,,,,,,
2018-01-10,132.1862,-0.3136,,,,,,,,,,
2018-01-11,121.8269,-7.8369,,,,,,,,,,
2018-01-12,131.1267,7.6336,,,,,,,,,,
2018-01-13,138.006,5.2463,,,,,,,,,,
2018-01-14,132.7752,-3.7903,,,,,,,,,,
2018-01-15,128.962,-2.8719,,,,,,,,,,
2018-01-16,103.1013,-20.053,,,,,,,,,,
2018-01-17,103.3381,0.2297,,,,,,,,,,
2018-01-18,107.2679,3.8029,,,,,,,,,,
2018-01-19,108.7139,1.348,,,,,,,,,,
2018-01-20,119.5393,9.9577,,,,,,,,,,
2018-01-21,106.8135,-10.6457,,,,,,,,,,
2018-01-22,101.7094,-4.7785,,,,,,,,,,
2018-01-23,100.6262,-1.065,,,,,,,,,,
2018-01-24,105.3497,4.6941,,,,,,,,,,
2018-01-25,104.7676,-0.5525,,,,,,,,,,
2018-01-26,103.4307,-1.2761,,,,,,,,,,
2018-01-27,106.2026,2.68,,,,,,,,,,
2018-01-28,112.8576,6.2663,,,,,,,,,,
2018-01-29,108.3441,-3.9993,,,,,,,,,,
2018-01-30,96.5998,-10.8398,,,,,,,,,,
2018-01-31,98.8883,2.3691,,,,,,,,,,
2018-02-01,87.534,-11.4819,30.0,Fear,,,,,,,,
2018-02-02,81.7477,-6.6103,15.0,Extreme Fear,,,,,,,,
2018-02-03,85.8306,4.9945,40.0,Fear,,,,,,,,
2018-02-04,76.1779,-11.2462,24.0,Extreme Fear,,,,,,,,
2018-02-05,63.3969,-16.7778,11.0,Extreme Fear,,,,,,,,
2018-02-06,72.7324,14.7255,8.0,Extreme Fear,,,,,,,,
2018-02-07,69.8969,-3.8985,36.0,Fear,,,,,,,,
2018-02-08,77.0828,10.2807,30.0,Fear,,,,,,,,
2018-02-09,84.702,9.8844,44.0,Fear,,,,,,,,
2018-02-10,83.1217,-1.8657,54.0,Neutral,,,,,,,,
2018-02-11,78.2015,-5.9193,31.0,Fear,,,,,,,,
2018-02-12,84.3333,7.841,42.0,Fear,,,,,,,,
2018-02-13,82.1132,-2.6325,35.0,Fear,,,,,,,,
2018-02-14,90.4556,10.1596,55.0,Greed,,,,,,,,
2018-02-15,93.9871,3.9041,71.0,Greed,,,,,,,,
2018-02-16,95.2876,1.3837,67.0,Greed,,,,,,,,
2018-02-17,100.2515,5.2094,74.0,Greed,,,,,,,,
2018-02-18,94.3195,-5.9171,63.0,Greed,,,,,,,,
2018-02-19,98.201,4.1153,67.0,Greed,,,,,,,,
2018-02-20,94.7253,-3.5394,74.0,Greed,,,,,,,,
2018-02-21,89.7509,-5.2514,54.0,Neutral,,,,,,,,
2018-02-22,84.4544,-5.9013,44.0,Fear,,,,,,,,
2018-02-23,88.342,4.6032,39.0,Fear,,,,,,,,
2018-02-24,84.7742,-4.0386,31.0,Fear,,,,,,,,
2018-02-25,84.3908,-0.4523,33.0,Fear,,,,,,,,
2018-02-26,88.223,4.541,37.0,Fear,,,,,,,,
2018-02-27,89.7294,1.7075,44.0,Fear,,,,,,,,
2018-02-28,86.3609,-3.7541,41.0,Fear,,,,,,,,
2018-03-01,89.482,3.614,38.0,Fear,,,,,,,,
2018-03-02,88.7994,-0.7628,47.0,Neutral,,,,,,,,
2018-03-03,89.5778,0.8766,56.0,Greed,,,,,,,,
2018-03-04,90.5568,1.0929,44.0,Fear,,,,,,,,
2018-03-05,89.4724,-1.1975,55.0,Greed,,,,,,,,
2018-03-06,84.5426,-5.5099,59.0,Greed,,,,,,,,
2018-03-07,78.2282,-7.4689,37.0,Fear,,,,,,,,
2018-03-08,73.9281,-5.4969,39.0,Fear,,,,,,,,
2018-03-09,74.7016,1.0463,37.0,Fear,,,,,,,,
2018-03-10,70.6342,-5.4449,39.0,Fear,,,,,,,,
2018-03-11,75.3169,6.6295,40.0,Fear,,,,,,,,
2018-03-12,72.5887,-3.6223,41.0,Fear,,,,,,,,
2018-03-13,73.4388,1.1711,41.0,Fear,,,,,,,,
2018-03-14,65.4562,-10.8697,40.0,Fear,,,,,,,,
2018-03-15,65.2894,-0.2548,32.0,Fear,,,,,,,,
